State,"Winter_2018
No_of_colonies","Spring_2018
No_of_colonies",All_2018_No_of_colonies,"Winter_2018
Lost","Spring_2018
Lost",All_2018_Lost,"Winter_2018
Per_lost","Spring_2018
Per_lost",All_2018_Per_lost,"Winter_2018
Added","Spring_2018
Added",All_2018_Added,"Winter_2018
Renovated","Spring_2018
Renovated",All_2018_Renovated,"Winter_2018
Per_renovated","Spring_2018
Per_renovated",All_2018_Per_renovated
Alabama,7500,7500,15000,820,810,1630,11,10,10.5,1200,1300,2500,1500,710,2210,20,8,14
Arizona,25000,18500,43500,6000,2600,8600,23,13,18,810,12000,12810,230,2100,2330,1,11,6
Arkansas,22000,11500,33500,7500,1500,9000,34,13,23.5,540,14000,14540,810,1900,2710,4,17,10.5
California,1150000,1140000,2290000,220000,70000,290000,14,6,10,200000,176000,376000,132500,254000,386500,9,21,15
Colorado,13000,16500,29500,4900,2300,7200,23,9,16,1400,9500,10900,190,4570,4760,1,18,9.5
Connecticut,2900,3600,6500,140,120,260,5,3,4,220,340,560,330,170,500,11,5,8
Florida,245000,270000,515000,35000,48000,83000,14,17,15.5,57000,54000,111000,38000,69000,107000,15,25,20
Georgia,134000,134000,268000,25000,16000,41000,18,12,15,29000,34000,63000,39000,16000,55000,28,12,20
Hawaii,15000,14500,29500,1600,280,1880,11,2,6.5,1200,300,1500,5100,3100,8200,34,21,27.5
Idaho,164000,60000,224000,22000,4800,26800,13,5,9,2500,17000,19500,2600,29000,31600,2,31,16.5
Illinois,10500,10000,20500,2400,2100,4500,23,20,21.5,1000,4700,5700,630,2800,3430,6,27,16.5
Indiana,7000,8000,15000,1000,1800,2800,13,20,16.5,300,4000,4300,30,730,760,0,8,4
Iowa,41000,45000,86000,1300,4300,5600,3,9,6,420,15500,15920,110,4800,4910,0,10,5
Kansas,3700,3900,7600,950,170,1120,26,4,15,500,1800,2300,410,2100,2510,11,54,32.5
Kentucky,5500,4800,10300,1600,450,2050,29,8,18.5,520,1400,1920,20,560,580,0,9,4.5
Louisiana,50000,48000,98000,3600,970,4570,7,2,4.5,4100,7000,11100,320,4000,4320,1,8,4.5
Maine,1900,2200,4100,240,1100,1340,13,6,9.5,40,430,470,30,880,910,2,5,3.5
Maryland,8000,7000,15000,1500,370,1870,19,5,12,0,2400,2400,190,1200,1390,2,15,8.5
Massachusetts,3800,3600,7400,1000,260,1260,26,3,14.5,240,910,1150,290,350,640,8,5,6.5
Michigan,16500,36000,52500,8000,6000,14000,24,9,16.5,10500,18000,28500,3900,8000,11900,11,12,11.5
Minnesota,39000,69000,108000,3900,6500,10400,6,6,6,13500,46000,59500,2900,24000,26900,5,22,13.5
Mississippi,19000,53000,72000,2000,5000,7000,6,9,7.5,28000,3900,31900,5500,6500,12000,17,12,14.5
Missouri,8000,7000,15000,1400,390,1790,18,6,12,1400,1800,3200,50,800,850,1,11,6
Montana,35000,50000,85000,140,4800,4940,0,3,1.5,840,26000,26840,0,20000,20000,0,12,6
Nebraska,6500,10500,17000,430,2700,3130,3,7,5,0,3100,3100,0,700,700,0,2,1
New Jersey,6500,4400,10900,730,270,1000,11,2,6.5,180,1200,1380,190,170,360,3,1,2
New Mexico,7500,1900,9400,3900,50,3950,52,1,26.5,180,290,470,0,450,450,0,10,5
New York,26000,20000,46000,3700,3300,7000,14,9,11.5,400,8000,8400,170,2300,2470,1,6,3.5
North Carolina,18500,16000,34500,4200,1200,5400,23,7,15,2400,3600,6000,260,800,1060,1,5,3
North Dakota,64000,72000,136000,3200,11000,14200,3,3,3,2600,30000,32600,10,46000,46010,0,11,5.5
Ohio,12000,11000,23000,4000,1100,5100,29,8,18.5,300,9000,9300,580,1800,2380,4,14,9
Oklahoma,17000,15500,32500,3700,1600,5300,21,10,15.5,890,9000,9890,240,6500,6740,1,42,21.5
Oregon,81000,41000,122000,4100,3400,7500,5,3,4,17000,23000,40000,3900,24000,27900,4,23,13.5
Pennsylvania,14500,15500,30000,1500,1100,2600,10,6,8,1600,6000,7600,670,1600,2270,5,8,6.5
South Carolina,13500,14000,27500,1800,1300,3100,12,9,10.5,1900,2400,4300,2800,4000,6800,19,29,24
South Dakota,23000,10500,33500,390,12000,12390,1,7,4,250,21000,21250,90,65000,65090,0,40,20
Tennessee,10000,8000,18000,3000,1200,4200,30,15,22.5,600,3200,3800,470,1300,1770,5,16,10.5
Texas,205000,305000,510000,22000,31000,53000,8,10,9,118000,100000,218000,42000,69000,111000,14,22,18
Utah,7500,14500,22000,620,1700,2320,4,7,5.5,490,10000,10490,50,4100,4150,0,16,8
Vermont,5500,5500,11000,570,520,1090,10,8,9,20,2600,2620,0,140,140,0,2,1
Virginia,7000,5000,12000,2100,490,2590,30,9,19.5,540,2400,2940,160,700,860,2,13,7.5
Washington,44000,55000,99000,4600,6500,11100,5,5,5,7000,19000,26000,860,18900,19760,1,15,8
West Virginia,4700,7000,11700,2000,490,2490,24,7,15.5,330,2100,2430,60,550,610,1,8,4.5
Wisconsin,21000,24000,45000,4600,6000,10600,16,12,14,2800,12500,15300,1560,6600,8160,5,13,9
Wyoming,5500,8500,14000,220,2200,2420,3,10,6.5,70,3100,3170,0,2300,2300,0,10,5
United States,2627500,2688400,5315900,423350,269740,693090,693,355,11.64444444,512780,723770,1236550,288710,714180,1002890,255,685,10.44444444
